                    count          mean           std         min  \
event               2326.0  1.208050e+03  6.982284e+02    1.000000   
frame               2326.0  8.640253e+04  5.260833e+04    0.000000   
x                   2326.0  7.919602e+01  1.958439e+01   57.358711   
y                   2326.0  1.179430e+02  1.610240e+01   78.041054   
photons             2326.0  2.925839e+02  4.293669e+02   11.658652   
duration_ms         2326.0  1.835039e+02  2.241530e+02   10.000000   
lifetime_10ps       2326.0  3.102640e+02  7.238602e+01  158.378036   
brightness_norm     2326.0  9.963309e-01  4.137451e-01    0.107024   
bg                  2326.0  2.901248e+00  1.054930e+00    0.526720   
lpx                 2326.0  1.420414e-01  7.385366e-02    0.014282   
lpy                 2326.0  1.363028e-01  6.920026e-02    0.012942   
sx                  2326.0  1.219356e+00  1.808092e-01    0.524925   
sy                  2326.0  1.179763e+00  1.763568e-01    0.546903   
group               2326.0  3.347377e+00  2.191609e+00    0.000000   
num_frames          2326.0  1.430310e+01  1.250145e+01    2.000000   
start_frame         2326.0  8.639595e+04  5.260847e+04    0.000000   
end_frame           2326.0  8.640926e+04  5.260808e+04    7.000000   
net_gradient        2326.0  4.255367e+02  2.773606e+02  120.213455   
ellipticity         2326.0  1.147084e-01  8.936641e-02    0.000088   
start_ms            2326.0  1.728045e+06  1.052169e+06   95.000000   
end_ms              2326.0  1.728248e+06  1.052163e+06  185.000000   
delta_x             2326.0  2.735756e-03  5.369122e-02   -0.287598   
delta_y             2326.0 -1.543527e-02  5.563664e-02   -0.337845   
brightness_phot_ms  2326.0  1.744576e+00  7.840396e-01    0.194311   
lt_over_bright      2326.0  4.266357e+02  3.163275e+02   86.558174   
                              25%           50%           75%           max  
event                  602.250000  1.214500e+03  1.811750e+03  2.414000e+03  
frame                39078.000000  8.382450e+04  1.324628e+05  1.799730e+05  
x                       60.804649  6.994498e+01  1.006078e+02  1.160085e+02  
y                      117.681070  1.221049e+02  1.237221e+02  1.409408e+02  
photons                116.089418  1.950449e+02  3.436689e+02  1.439640e+04  
duration_ms             80.000000  1.300000e+02  2.300000e+02  7.010000e+03  
lifetime_10ps          255.369167  2.737131e+02  3.824069e+02  6.372078e+02  
brightness_norm          0.564793  1.075947e+00  1.312220e+00  2.857276e+00  
bg                       2.165163  2.729163e+00  3.479863e+00  9.859852e+00  
lpx                      0.093735  1.264523e-01  1.726608e-01  9.988390e-01  
lpy                      0.090112  1.219833e-01  1.686875e-01  9.233068e-01  
sx                       1.111141  1.208647e+00  1.323479e+00  1.931136e+00  
sy                       1.072067  1.172057e+00  1.270630e+00  1.956506e+00  
group                    1.000000  3.000000e+00  5.000000e+00  7.000000e+00  
num_frames               9.000000  1.200000e+01  1.700000e+01  3.570000e+02  
start_frame          39071.000000  8.381700e+04  1.324550e+05  1.799650e+05  
end_frame            39080.750000  8.382950e+04  1.324698e+05  1.799740e+05  
net_gradient           212.203510  3.289428e+02  5.820892e+02  1.792049e+03  
ellipticity              0.045867  9.573720e-02  1.599738e-01  5.582535e-01  
start_ms            781520.500000  1.676470e+06  2.649246e+06  3.599345e+06  
end_ms              781708.000000  1.676650e+06  2.649448e+06  3.599655e+06  
delta_x                 -0.024974  2.075195e-03  3.131866e-02  4.672623e-01  
delta_y                 -0.044424 -1.642227e-02  1.361847e-02  3.204651e-01  
brightness_phot_ms       1.004889  1.787833e+00  2.308306e+00  5.187620e+00  
lt_over_bright         198.008617  2.443292e+02  6.906067e+02  3.216908e+03  
